iter	MultiClass
0	2.718317524
1	2.340176219
2	2.091982645
3	1.888499686
4	1.719522967
5	1.577380872
6	1.444662723
7	1.33171785
8	1.227189108
9	1.14289571
10	1.060144697
11	0.9881916626
12	0.9301609661
13	0.8753585009
14	0.817539077
15	0.7714301126
16	0.7273942403
17	0.6898116366
18	0.655879924
19	0.6206125445
20	0.5929263521
21	0.5650111976
22	0.5404149887
23	0.5189673623
24	0.4947056276
25	0.4699099214
26	0.4495058628
27	0.4312866236
28	0.4166921119
29	0.3993926825
30	0.3826407972
31	0.3654427241
32	0.3517218319
33	0.3382145459
34	0.3265716738
35	0.3153939018
36	0.3031371869
37	0.2914041951
38	0.2799312813
39	0.2712509819
40	0.2617748071
41	0.255471637
42	0.247490096
43	0.2404765582
44	0.2332686109
45	0.226999863
46	0.220275106
47	0.2139191258
48	0.2063428564
49	0.1991833444
50	0.193884317
51	0.188292074
52	0.1813778551
53	0.1760762729
54	0.172445996
55	0.1681775725
56	0.1637741887
57	0.1610297376
58	0.1570265568
59	0.1530599837
60	0.1499329003
61	0.1464734501
62	0.1430119646
63	0.140357927
64	0.1378405777
65	0.1347309236
66	0.1310950573
67	0.1286714165
68	0.1260342818
69	0.1240203071
70	0.1214950839
71	0.1193549439
72	0.1168279383
73	0.114804224
74	0.1125982584
75	0.1109797983
76	0.1087255255
77	0.1070328713
78	0.10536332
79	0.1030067925
80	0.1011693555
81	0.09967272384
82	0.09809988898
83	0.09674135359
84	0.09537071711
85	0.09382107241
86	0.09150751613
87	0.08980131565
88	0.08845134879
89	0.08678501703
90	0.08566797223
91	0.08456845898
92	0.08289978807
93	0.08129452198
94	0.08000173154
95	0.0787020405
96	0.07715221191
97	0.07595147726
98	0.07477303354
99	0.07394465833
100	0.07281359242
101	0.07196398408
102	0.07078370605
103	0.07003271806
104	0.0690656378
105	0.06818681338
106	0.06722286225
107	0.06663991668
108	0.06576742281
109	0.06518217615
110	0.0643936696
111	0.06378095492
112	0.06307224268
113	0.06223238001
114	0.06156951738
115	0.06081882271
116	0.06030616325
117	0.05958810359
118	0.05902358613
119	0.05828213159
120	0.05726986291
121	0.0568199189
122	0.05627181924
123	0.05547126206
124	0.05497036401
125	0.05436063646
126	0.0538428963
127	0.05325899659
128	0.05251739848
129	0.05191587109
130	0.0514022416
131	0.05092181099
132	0.05034812124
133	0.04991838674
134	0.04936413625
135	0.04905589251
136	0.04833205158
137	0.04786815538
138	0.04749414169
139	0.04698823267
140	0.04663377279
141	0.04600879933
142	0.04566545897
143	0.04535990996
144	0.04492232481
145	0.04455971516
146	0.04423389265
147	0.04359227347
148	0.04320067243
149	0.04275491425
150	0.04234361562
151	0.04196909054
152	0.04137465119
153	0.04108167426
154	0.04080714995
155	0.04055742456
156	0.04011460151
157	0.03972120028
158	0.03940524107
159	0.0392063115
160	0.03881133582
161	0.03855226242
162	0.03819313195
163	0.03792620995
164	0.03765666962
165	0.0374617125
166	0.0372634203
167	0.03708319513
168	0.03671251296
169	0.03654015671
170	0.03632539903
171	0.03612360675
172	0.03588063074
173	0.03559166464
174	0.03538627507
175	0.03517193557
176	0.03493626419
177	0.03464018978
178	0.03439704865
179	0.03413899045
180	0.03399580662
181	0.03383849021
182	0.03363599024
183	0.0334335534
184	0.03318950437
185	0.03292088261
186	0.03282540275
187	0.03264628474
188	0.03240171598
189	0.03210817205
190	0.03189891646
191	0.03166199935
192	0.03151317569
193	0.03136202696
194	0.03124496196
195	0.03110815502
196	0.03089920808
197	0.03073091173
198	0.03045820096
199	0.03031804098
200	0.03016718064
201	0.03001271655
202	0.02988867267
203	0.02968587302
204	0.029538722
205	0.02931347498
206	0.02907935722
207	0.02893817462
208	0.02875138488
209	0.02863633923
210	0.02848036478
211	0.02825092442
212	0.02814606986
213	0.02798955593
214	0.02784210476
215	0.02771854314
216	0.0276074869
217	0.02751432197
218	0.02727554485
219	0.02710495044
220	0.02701211325
221	0.0268744255
222	0.02676314985
223	0.02657151667
224	0.02637833854
225	0.02619248775
226	0.02605601607
227	0.02584811383
228	0.02570430109
229	0.02551199631
230	0.02538021109
231	0.02513802052
232	0.02499715399
233	0.02477050038
234	0.02465458358
235	0.02450517206
236	0.02434334685
237	0.02422487031
238	0.02407699626
239	0.02389536357
240	0.02379204643
241	0.02370269439
242	0.02361510321
243	0.02346453853
244	0.02335405622
245	0.02325557727
246	0.02314497609
247	0.02300119346
248	0.02291994968
249	0.02277216221
250	0.02263603432
251	0.02257067547
252	0.02247666041
253	0.0223897495
254	0.02228310451
255	0.02213959606
256	0.02206859669
257	0.02193626829
258	0.02186154263
259	0.02171731805
260	0.0216141411
261	0.02151949109
262	0.02138748278
263	0.02129863613
264	0.02121672426
265	0.02113511623
266	0.0210473498
267	0.02094364879
268	0.02086411965
269	0.02080058805
270	0.0207384236
271	0.02063089808
